"","Title","Author","Summary","Link"
"1","The Best 3D Printers for 2020","By Tony Hoffman","Whether for personal, professional, or educational use, 3D printers are more affordable than ever. Check out what you need to know about the technology to get started printing, along with the top-performing models in our formal testing.","https://www.pcmag.com/picks/the-best-3d-printers"
"2","The Best Cheap 3D Printers for 2020","By Tony Hoffman","Budget-friendly 3D printers in 2020 will likely surprise you: You can get a smooth-working machine with features once found only in high-end models. Check out the top-performing 3D printers under $500.","https://www.pcmag.com/picks/the-best-cheap-3d-printers"
"3","The Best Photo Printers for 2020","By  Tony Hoffman","Your photos deserve to exist as more than mere bits and bytes. Here's what you need to know to pick the right photo printer—whether for snapshots or for big, bold art prints—based on your output needs. Also, check out our top-rated picks, based on our deep-dive reviews.","https://www.pcmag.com/picks/the-best-photo-printers"
"4","The Best Printers for 2020","By Tony Hoffman","Inkjet or laser? All-in-one model, or printer only? Today's printers are feature-packed and deploy ink and toner in new ways. Here's how to pick the right one for you or your business, with top picks backed by hundreds of lab-tested reviews.","https://www.pcmag.com/picks/the-best-printers"
"5","The Best All-in-One Printers for 2020","By Tony Hoffman","Need to scan, copy, or fax, in addition to printing? An AIO printer is what you're looking for. Pick the right multifunction machine with our advice and our deep-dive reviews.","https://www.pcmag.com/picks/the-best-all-in-one-printers"
"6","The Best Laser Printers for 2020","By John Burek  & William Harrel","Today's laser printers deliver unparalleled speed, pristine text, and reliable paper handling. If that's what you need, find the best one for your home or office with our shopping tips and list of top-rated models, based on our deep-dive reviews.","https://www.pcmag.com/picks/the-best-laser-printers"
"7","Polaroid Hi-Print 2x3 Pocket Photo Printer Review","By William Harrel","Polaroid's Hi-Print 2x3 Pocket Photo Printer churns out excellent-looking wallet-size photos. Opt for the Starter Set version, though; it comes with enough paper and ink to print 40 snapshots.","https://www.pcmag.com/reviews/polaroid-hi-print-2x3-pocket-photo-printer"
"8","The Best Inkjet Printers for 2020","By Tony Hoffman","Inkjet printers can produce outstanding photos, crisp multi-page office documents, and everything in between. Find your ideal inkjet with these handy shopping tips and our top picks, drawn from PC Labs' reviews.","https://www.pcmag.com/picks/the-best-inkjet-printers"
"9","The Best Portable Printers for 2020","By Tony Hoffman","Whether you're going on a business trip, a road trip, or just a trip across town, our top travel printers will let you print photos, documents, labels, and more, from anywhere you happen to go.","https://www.pcmag.com/picks/the-best-portable-printers"
"10","The Best Cheap Printers for 2020","By William Harrel","Stuck at home, families, students, and office workers are all reawakening to some essential tech—especially humble desktop printers. See our top picks under $200, backed by PC Labs' decades of deep-dive reviews.","https://www.pcmag.com/picks/best-cheap-printers"
"11","Need a Laptop? Printer? How to Get Hard-to-Find Electronics","By Eric Griffith","With workers and students at home, back-to-school shopping has depleted many tech supplies. But there are ways to find the devices and products you'll need to work and learn from home.","https://www.pcmag.com/how-to/need-a-laptop-printer-how-to-get-hard-to-find-electronics"
"12","Monoprice Cadet 3D Printer Review","By Tony Hoffman","The entry-level Monoprice Cadet 3D Printer is easy to use and offers great print quality for its price, but has a small build volume and suffers from awkward filament handling.","https://www.pcmag.com/reviews/monoprice-cadet-3d-printer"
"13","Arkscan 2054A-LAN Thermal Shipping Label Printer Review","By William Harrel","A plain-vanilla label printer with robust connectivity and low running costs, the Arkscan 2054A-LAN is a strong choice for professional settings, notably shipping.","https://www.pcmag.com/reviews/arkscan-2054a-lan-thermal-shipping-label-printer"
"14","Business Choice Awards 2020: Printers","By Eric Griffith","Looking to buy a new printer for the office? The Brother brand faces some strong competition, but its printers are still tops among PCMag readers for business use.","https://www.pcmag.com/news/business-choice-awards-2020-printers"
"15","Readers' Choice Awards 2020: Printers","By Eric Griffith","Whether you're upgrading your home office or buying your first photo printer, there's only one brand PCMag readers recommend year after year. Find out which manufacturer has held our title for more than a decade.","https://www.pcmag.com/news/readers-choice-awards-2020-printers"
"16","The Best Business Printers for 2020","By William Harrel","The paperless office? Not in this lifetime. Whether it's a simple desktop mono laser or an enterprise color multifunction machine for a workgroup, here's how to choose the right printer or all-in-one for your business. (Plus, check out reviews of our current favorites.)","https://www.pcmag.com/picks/the-best-business-printers"
"17","BradyPrinter M611 Mobile Label Printer Review","By William Harrel","The BradyPrinter M611 Mobile Label Printer is a powerful industrial label design and print system capable of professional-grade labeling. A major differentiator: You can control it via a mobile device.","https://www.pcmag.com/reviews/bradyprinter-m611-mobile-label-printer"
"18","Canon Pixma TR150 Wireless Portable Printer Review","By William Harrel","The portable, single-function Canon Pixma TR150 prints well (especially graphics and photos), making it a good choice for home offices and families.","https://www.pcmag.com/reviews/canon-pixma-tr150-wireless-portable-printer"
"19","What to Do if Windows Can't Connect to Your Printer","By William Harrel","Adding a networked printer to your PC is usually a cinch, but what if Windows just won't play nice with it, or can't find it at all? See a few quick solutions.","https://www.pcmag.com/how-to/what-to-do-if-windows-cannot-connect-to-the-printer"
"20","How to Recycle or Donate Your Old Printer","By William Harrel","Trusty inkjet just spit out its last page? Or just looking to upgrade? Either way, here's how to keep your old printer out of a landfill...and maybe even have it do some good.","https://www.pcmag.com/how-to/how-to-recycle-or-donate-your-old-printer"
"21","Brady BMP41 Label Printer Voice and Data Communications Starter Kit Review","By William Harrel","The Brady BMP41 Label Printer Voice and Data Communications Starter Kit is an industrial-strength labeling system designed for tagging telecom and datacom network wiring, face plates, patch panels, equipment, and more.","https://www.pcmag.com/reviews/brady-bmp41-label-printer-voice-and-data-communications-starter-kit"
"22","HP Envy 5055 All-in-One Printer Review","By William Harrel","The HP Envy 5055 prints well and, if you sign up for HP’s Instant Ink subscription program, inexpensively, making it a good value for families and light-printing home offices.","https://www.pcmag.com/reviews/hp-envy-5055-all-in-one-printer"
"23","Brady BMP21-Plus Printer Kit Review","By William Harrel","The Brady BMP21-Plus Printer Kit is an industrial-strength label printer designed to churn out labels on materials that can hold up in harsh environments.","https://www.pcmag.com/reviews/brady-bmp21-plus-printer-kit"
"24","This Top-Rated Epson Printer Is Now $100 Off","By Stephanie Mlot","Satisfy your every printing need with the Epson Expression Premium XP-7100 all-in-one printer, now just $99.99.","https://www.pcmag.com/deals/this-top-rated-epson-printer-is-now-100-off"
"25","Epson EcoTank ET-4700 All-in-One Supertank Printer Review","By William Harrel","It's something of a stripped-down model, but the Epson EcoTank ET-4700 offers exceptionally low running costs for a multifunction inkjet destined for 400 to 800 pages per month.","https://www.pcmag.com/reviews/epson-ecotank-et-4700-all-in-one-supertank-printer"
"26","Brother VC-500W Compact Color Printer Review","By William Harrel","The Brother VC-500W is a specialized sibling of ZINK mini photo printers that cranks out handy full-color labels for homes and small businesses. It's not cheap to use, but it's a nifty little device.","https://www.pcmag.com/reviews/brother-vc-500w-compact-color-printer"
"27","Epson Expression Photo XP-8600 Small-in-One Printer Review","By  William Harrel","The Epson Expression Photo XP-8600 Small-in-One Printer is a consumer-grade all-in-one capable of printing top-quality borderless photos up to 8 by 10 inches.","https://www.pcmag.com/reviews/epson-expression-photo-xp-8600-small-in-one-printer"
"28","Epson WorkForce ST-M3000 Monochrome MFP Supertank Printer Review","By William Harrel","The Epson WorkForce ST-M3000 is an inkjet alternative to monochrome laser AIOs that prints well with ultra-low running costs, not to mention it comes with a ton of ink in the box, increasing its overall value.","https://www.pcmag.com/reviews/epson-workforce-st-m3000-monochrome-mfp-supertank-printer"
"29","The Best Wide-Format Printers for 2020","By John Burek","If you need to produce 11-by-17-inch (tabloid size) or 13-by-19-inch documents, these wide-format printers will do the job. And they're no slouches with smaller paper, either.","https://www.pcmag.com/picks/the-best-wide-format-printers"
"30","The Best Printers for Mac","By Tony Hoffman","Need to print from your MacBook or your iMac? These top-rated printers play nicely with Apple computers. And we've got some tips for printing from your iPad, too.","https://www.pcmag.com/picks/the-best-printers-for-mac"
"31","Today Only: Save 32 Percent on Kodak Smartphone Photo Printer","By Angela Moscaritolo","The Kodak Mini 2 HD, which lets you wirelessly print credit card-sized photos from your iOS or Android device, is available right now for just $61.53 with free shipping, or 32 percent off.","https://www.pcmag.com/deals/today-only-save-32-percent-on-kodak-smartphone-photo-printer"
"32","These Huge 3D Printers Want to Save the Earth (and Maybe Mars)","By S.C. Stuart","re:3D's industrial-sized 'Gigabot' 3D printers might one day help create cities on faraway planets. For now, though, it's committed to turning plastic waste from Earth into 3D-printed projects a little closer to home. Co-founder and CEO Samantha Snapes explains.","https://www.pcmag.com/news/these-huge-3d-printers-want-to-save-the-earth-and-maybe-mars"
"33","Polaroid PlaySmart 3D Printer Review","By Tony Hoffman","The Polaroid PlaySmart 3D Printer is a compact, stylish 3D printer with above-par overall print quality, but, alas, a tiny build area for the money.","https://www.pcmag.com/reviews/polaroid-playsmart-3d-printer"
"34","Epson Expression Photo XP-970 Small-in-One Printer Review","By William Harrel","The Epson Expression Photo XP-970 Small-in-One is a wide-format consumer AIO capable of printing top-quality borderless photos up to 11 by 17 inches, but its printing costs are steep.","https://www.pcmag.com/reviews/epson-expression-photo-xp-970-small-in-one-printer"
"35","How to Save Money With HP Instant Ink and Other Low-Cost Printer Ink Programs","By Tony Hoffman","If you print in volume, it pays to explore low-cost ink programs offered by major printer manufacturers. Here's everything you need to know to save cash on printer ink.","https://www.pcmag.com/how-to/how-to-save-money-with-hp-instant-ink-and-other-low-cost-printer-ink-programs"
"36","Epson WorkForce Pro WF-C5790 Color MFP Supertank Printer (2019) Review","By William Harrel","This Epson WorkForce Pro WF-C5790 may be expensive, but it's awash with ink and has twice the warranty of its predecessor, and it's poised to out-value most entry-level and midrange color laser AIOs.","https://www.pcmag.com/reviews/epson-workforce-pro-wf-c5790-color-mfp-supertank-printer-2019"
"37","Canon Pixma TS8320 Wireless Inkjet All-In-One Printer Review","By William Harrel","The Canon Pixma TS8320 combines excellent six-ink photo and graphics output with a wealth of productivity and convenience features, making it a great family and home inkjet all-in-one.","https://www.pcmag.com/reviews/canon-pixma-ts8320-wireless-inkjet-all-in-one-printer"
"38","Epson EcoTank ET-2720 All-In-One Cartridge-Free Supertank Printer Review","By William Harrel","What the Epson EcoTank ET-2720 all-in-one printer lacks in features and speed, it makes up for in print quality and low running costs.","https://www.pcmag.com/reviews/epson-ecotank-et-2720-all-in-one-cartridge-free-supertank-printer"
"39","Epson EcoTank ET-3710 All-In-One Cartridge-Free Supertank Printer Review","By William Harrel","The Epson EcoTank ET-3710 delivers excellent print quality and low running costs, but fails to stand out in the competitive all-in-one inkjet field.","https://www.pcmag.com/reviews/epson-ecotank-et-3710-all-in-one-cartridge-free-supertank-printer"
"40","Epson WorkForce Pro EC-4030 Color Multifunction Printer Review","By William Harrel","The Epson WorkForce Pro EC-4030 color inkjet all-in-one prints well and offers reasonable running costs, but it's overshadowed by faster, more feature-packed competition.","https://www.pcmag.com/reviews/epson-workforce-pro-ec-4030-color-multifunction-printer"
"41","How We Test Printers","By M. David Stone  & Tony Hoffman","Our lab tests measure overall performance, functionality, and output quality to help you pick the right printer for your needs.","https://www.pcmag.com/about/how-we-test-printers"
"42","Epson WorkForce WF-110 Wireless Mobile Printer Review","By William Harrel","The Epson WorkForce WF-110 is a compact and light low-volume mobile printer that produces quality output for business travelers. ","https://www.pcmag.com/reviews/epson-workforce-wf-110-wireless-mobile-printer"
"43","Canon Pixma G5020 Wireless MegaTank Printer Review","By  William Harrel","The Canon Pixma G5020 is a single-function bulk-ink printer that produces excellent output, is packed with handy productivity features, and delivers very low running costs.","https://www.pcmag.com/reviews/canon-pixma-g5020-wireless-megatank-printer"
"44","Epson EcoTank ET-2760 All-In-One Cartridge-Free Supertank Printer Review","By William Harrel","The Epson EcoTank ET-2760 is an entry-level inkjet all-in-one printer that produces excellent output and costs little to use over time, making it a solid addition to low-volume small offices. ","https://www.pcmag.com/reviews/epson-ecotank-et-2760-all-in-one-cartridge-free-supertank-printer"
"45","Brother MFC-J5845DW INKvestment Tank Color Inkjet All-in-One Printer Review","By William Harrel","The Brother MFC-J5845DW prints good-looking documents up to tabloid-size quickly and inexpensively, making it a great all-in-one printer for small offices that can live with a manual-duplexing ADF. ","https://www.pcmag.com/reviews/brother-mfc-j5845dw-inkvestment-tank-color-inkjet-all-in-one-printer"
"46","Epson EcoTank ET-3760 All-In-One Cartridge-Free Supertank Printer Review","By William Harrel","The Epson EcoTank ET-3760 is a bulk-ink all-in-one printer that delivers excellent print quality and low running costs. Its lack of an ADF, though, might be a deal breaker for some offices.","https://www.pcmag.com/reviews/epson-ecotank-et-3760-all-in-one-cartridge-free-supertank-printer"
"47","Munbyn PeriPage Pocket Photo Printer Label Maker Review","By William Harrel","Compact and well-built, the Munbyn PeriPage printer produces good-looking labels, stickers, receipts, and more at comparably low running costs, but you sacrifice speed and other time-saving productivity features in return. ","https://www.pcmag.com/reviews/munbyn-peripage-pocket-photo-printer-label-maker"
"48","Epson EcoTank ET-M2170 Wireless Monochrome All-in-One Supertank Printer Review","By William Harrel","The inexpensive-to-use Epson EcoTank ET-M2170 is a well-printing monochrome inkjet AIO, but its slightly costlier sibling offers additional office-friendly features that make it a better value.","https://www.pcmag.com/reviews/epson-ecotank-et-m2170-wireless-monochrome-all-in-one-supertank-printer"
"49","Canon Pixma G6020 MegaTank All-in-One Printer Review","By William Harrel","The entry-level Canon Pixma G6020 is a bulk-ink all-in-one printer that produces excellent output for home offices. And better yet, it costs very little to use over time.","https://www.pcmag.com/reviews/canon-pixma-g6020-megatank-all-in-one-printer"
"50","Epson EcoTank ET-M1170 Wireless Monochrome Supertank Printer Review","By William Harrel","The Epson EcoTank ET-M1170 is a standalone monochrome inkjet printer that produces excellent output and costs very little to use over time.","https://www.pcmag.com/reviews/epson-ecotank-et-m1170-wireless-monochrome-supertank-printer"
"51","What to Do When Your Printer Won't Print a Document","By Whitson Gordon","Having printer problems? Whether it's a software issue, a hardware problem, or something else, here's how to troubleshoot your printer.","https://www.pcmag.com/how-to/what-to-do-when-your-printer-wont-print-a-document"
