"","x"
"1","abarth"
"2","aixam"
"3","alfa_romeo"
"4","arctic_cat"
"5","aro"
"6","asia"
"7","aston_martin"
"8","audi"
"9","avia"
"10","bajaj"
"11","barkas"
"12","bedford"
"13","bentley"
"14","bmc"
"15","bmw"
"16","bombardier"
"17","borgward"
"18","cadillac"
"19","chevrolet"
"20","chrysler"
"21","citroen"
"22","cupra"
"23","dacia"
"24","daewoo"
"25","daf"
"26","daihatsu"
"27","dodge"
"28","ds"
"29","ferrari"
"30","fiat"
"31","fisker"
"32","ford"
"33","gaz"
"34","gmc"
"35","great_wall"
"36","honda"
"37","hummer"
"38","hyundai"
"39","infiniti"
"40","isuzu"
"41","iveco"
"42","jaguar"
"43","jeep"
"44","kawasaki"
"45","kia"
"46","ktm"
"47","kymco"
"48","lada"
"49","lancia"
"50","land_rover"
"51","ldv"
"52","lexus"
"53","ligier"
"54","lotus"
"55","mahindra"
"56","man"
"57","maruti"
"58","maserati"
"59","mazda"
"60","mega"
"61","mercedes-amg"
"62","mercedes-benz"
"63","mercedes-maybach"
"64","mg"
"65","mini"
"66","mitsubishi"
"67","moszkvics"
"68","multicar"
"69","nissan"
"70","oltcit"
"71","opel"
"72","peugeot"
"73","piaggio"
"74","polaris"
"75","polonez"
"76","polski_fiat"
"77","porsche"
"78","proton"
"79","renault"
"80","rolls-royce"
"81","rover"
"82","saab"
"83","seat"
"84","shuanghuan"
"85","skoda"
"86","smart"
"87","ssangyong"
"88","steyr"
"89","subaru"
"90","suzuki"
"91","talbot"
"92","tata"
"93","tesla"
"94","toyota"
"95","trabant"
"96","triumph"
"97","uaz"
"98","vauxhall"
"99","volga"
"100","volkswagen"
"101","volvo"
"102","wartburg"
"103","yamaha"
"104","yugo"
"105","zastava"
"106","zaz"
