"","ID","Név","Link","Kategória","Kivitel","Üzemanyag","Újkori.ára.(mHUF)","Hengerek.száma","Maximális.teljesítmény.(kW)","Maximális.teljesítmény.(LE)","Végsebesség.(km/h)","Gyorsulás.(s)","CO2.kibocsátás.(g/km)","Vegyes.fogyasztás.(l)","Össztömeg.(kg)","Szélesség.(mm)","Hosszúság.(mm)","Magasság.(mm)","Ajtók.száma","Szállítható.személyek.száma"
"1",1,"ALFA ROMEO Alfa 145 1.4 (1994-1997)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_145_1.4-73","Alsó középkategória","Ferdehátú","Benzin",NA,4,66,90,178,12.5,NA,NA,1670,1712,4093,1427,3,5
"2",2,"ALFA ROMEO Alfa 145 1.4 L (1994-1997)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_145_1.4_l-74","Alsó középkategória","Ferdehátú","Benzin",NA,4,66,90,178,12.5,NA,NA,1670,1712,4093,1427,3,5
"3",3,"ALFA ROMEO Alfa 145 1.4 TS STD. (1997-1999)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_145_1.4_ts_std.-75","Alsó középkategória","Ferdehátú","Benzin",2.795,4,76,103,185,11.2,189,7.91,1655,1712,4093,1427,3,5
"4",4,"ALFA ROMEO Alfa 145 1.4 TS L (1997-1999)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_145_1.4_ts_l-76","Alsó középkategória","Ferdehátú","Benzin",NA,4,76,103,185,11.2,189,7.91,1655,1712,4093,1427,3,5
"5",5,"ALFA ROMEO Alfa 145 1.6 (1996-1997)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_145_1.6-77","Alsó középkategória","Ferdehátú","Benzin",2.499,4,76,103,185,11,NA,NA,1670,1712,4093,1427,3,5
"6",6,"ALFA ROMEO Alfa 145 1.6 L (1994-1997)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_145_1.6_l-78","Alsó középkategória","Ferdehátú","Benzin",2.65,4,76,103,185,11,NA,NA,1670,1712,4093,1427,3,5
"7",7,"ALFA ROMEO Alfa 145 1.6 TS (1997-1999)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_145_1.6_ts-79","Alsó középkategória","Ferdehátú","Benzin",3.095,4,88,120,195,10.2,196,8.21,1705,1712,4093,1427,3,5
"8",8,"ALFA ROMEO Alfa 145 1.6 TS L (1997-1999)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_145_1.6_ts_l-80","Alsó középkategória","Ferdehátú","Benzin",NA,4,88,120,195,10.2,196,8.21,1705,1712,4093,1427,3,5
"9",9,"ALFA ROMEO Alfa 145 1.7 16V (1994-1996)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_145_1.7_16v-81","Alsó középkategória","Ferdehátú","Benzin",NA,4,95,129,200,9.8,NA,NA,1715,1712,4093,1427,3,5
"10",10,"ALFA ROMEO Alfa 145 1.7 16V L (1994-1996)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_145_1.7_16v_l-82","Alsó középkategória","Ferdehátú","Benzin",NA,4,95,129,200,9.8,NA,NA,1715,1712,4093,1427,3,5
