"","ID","Név","Link","Kategória","Kivitel","Üzemanyag","Újkori.ára.(mHUF)","Hengerek.száma","Maximális.teljesítmény.(kW)","Maximális.teljesítmény.(LE)","Végsebesség.(km/h)","Gyorsulás.(s)","CO2.kibocsátás.(g/km)","Vegyes.fogyasztás.(l)","Össztömeg.(kg)","Szélesség.(mm)","Hosszúság.(mm)","Magasság.(mm)","Ajtók.száma","Szállítható.személyek.száma"
"1",1,"BENTLEY 4.4 V8 32V Turbo (1998–)","https://katalogus.hasznaltauto.hu/bentley/4.4_v8_32v_turbo-67488",NA,"Lépcsõshátú","Benzin",NA,8,260,354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"BENTLEY 6.8 V8 (1999–)","https://katalogus.hasznaltauto.hu/bentley/6.8_v8-67489",NA,"Lépcsõshátú","Benzin",NA,8,298,405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,"BENTLEY 6.8 V8 T (2002–)","https://katalogus.hasznaltauto.hu/bentley/6.8_v8_t-67490",NA,"Lépcsõshátú","Benzin",NA,8,336,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"BENTLEY 6.7 (2002-2005)","https://katalogus.hasznaltauto.hu/bentley/6.7-67491",NA,"Lépcsõshátú","Benzin",NA,8,313,426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"BENTLEY 6.8 V8 T (2002–)","https://katalogus.hasznaltauto.hu/bentley/6.8_v8_t-67492",NA,"Lépcsõshátú","Benzin",NA,8,373,507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"BENTLEY 6.8 (2006–)","https://katalogus.hasznaltauto.hu/bentley/6.8-67493",NA,"Coupe","Benzin",NA,8,373,507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,"BENTLEY 6.8 (2005–)","https://katalogus.hasznaltauto.hu/bentley/6.8-67494",NA,"Coupe","Benzin",NA,8,336,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"BENTLEY 4.4 32V (1999-2001)","https://katalogus.hasznaltauto.hu/bentley/4.4_32v-67495",NA,"Lépcsõshátú","Benzin",NA,8,261,355,NA,NA,NA,NA,NA,NA,NA,NA,4,NA
"9",9,"BENTLEY 4.4 32V (2000-2001)","https://katalogus.hasznaltauto.hu/bentley/4.4_32v-67496",NA,"Lépcsõshátú","Benzin",NA,8,261,355,NA,NA,NA,NA,NA,NA,NA,NA,4,NA
"10",10,"BENTLEY 4.4 32V (2000-2001)","https://katalogus.hasznaltauto.hu/bentley/4.4_32v-67497",NA,"Lépcsõshátú","Benzin",NA,8,261,355,NA,NA,NA,NA,NA,NA,NA,NA,4,NA
