"","ID","Név","Link","Kategória","Kivitel","Üzemanyag","Újkori.ára.(mHUF)","Hengerek.száma","Maximális.teljesítmény.(kW)","Maximális.teljesítmény.(LE)","Végsebesség.(km/h)","Gyorsulás.(s)","CO2.kibocsátás.(g/km)","Vegyes.fogyasztás.(l)","Össztömeg.(kg)","Szélesség.(mm)","Hosszúság.(mm)","Magasság.(mm)","Ajtók.száma","Szállítható.személyek.száma"
"1",1,"HONDA Accord 1.6 (1979-1982)","https://katalogus.hasznaltauto.hu/honda/accord_1.6-12812","Középkategória","Coupe","Benzin",NA,4,59,80,NA,NA,NA,NA,NA,NA,NA,NA,3,5
"2",2,"HONDA Accord 1.6 L (1982-1984)","https://katalogus.hasznaltauto.hu/honda/accord_1.6_l-12813","Középkategória","Coupe","Benzin",NA,4,59,80,NA,NA,NA,NA,NA,NA,NA,NA,3,5
"3",3,"HONDA Accord 1.6 (1978-1982)","https://katalogus.hasznaltauto.hu/honda/accord_1.6-12814","Középkategória","Sedan","Benzin",NA,4,59,80,NA,NA,NA,NA,NA,NA,NA,NA,4,5
"4",4,"HONDA Accord 1.6 Hatchback (1977-1982)","https://katalogus.hasznaltauto.hu/honda/accord_1.6_hatchback-12815","Középkategória","Ferdehátú","Benzin",NA,4,59,80,NA,NA,NA,NA,NA,NA,NA,NA,2,5
"5",5,"HONDA Accord 1.6 Hatchback (1983-1984)","https://katalogus.hasznaltauto.hu/honda/accord_1.6_hatchback-12816","Középkategória","Ferdehátú","Benzin",NA,4,59,80,NA,NA,NA,NA,NA,NA,NA,NA,2,5
"6",6,"HONDA Accord 1.6 (1982-1984)","https://katalogus.hasznaltauto.hu/honda/accord_1.6-12817","Középkategória","Sedan","Benzin",NA,4,59,80,NA,NA,NA,NA,1520,NA,NA,NA,4,5
"7",7,"HONDA Accord 1.6 L (1982-1984)","https://katalogus.hasznaltauto.hu/honda/accord_1.6_l-12818","Középkategória","Sedan","Benzin",NA,4,59,80,NA,NA,NA,NA,NA,NA,NA,NA,4,5
"8",8,"HONDA Accord 1.6 EX (1979-1982)","https://katalogus.hasznaltauto.hu/honda/accord_1.6_ex-12819","Középkategória","Sedan","Benzin",NA,4,59,80,NA,NA,NA,NA,NA,NA,NA,NA,4,5
"9",9,"HONDA Accord 1.6 EX (1982-1984)","https://katalogus.hasznaltauto.hu/honda/accord_1.6_ex-12820","Középkategória","Sedan","Benzin",NA,4,59,80,NA,NA,NA,NA,NA,NA,NA,NA,4,5
"10",10,"HONDA Accord 1.6 EX Hatchback (1982-1984)","https://katalogus.hasznaltauto.hu/honda/accord_1.6_ex_hatchback-12821","Középkategória","Ferdehátú","Benzin",NA,4,59,80,NA,NA,NA,NA,NA,NA,NA,NA,2,5
"11",11,"HONDA Accord 1.6 Hatchback (1984-1985)","https://katalogus.hasznaltauto.hu/honda/accord_1.6_hatchback-12822","Középkategória","Ferdehátú","Benzin",NA,4,65,88,NA,NA,NA,NA,NA,NA,NA,NA,3,5
"12",12,"HONDA Accord 1.6 EX (1984-1985)","https://katalogus.hasznaltauto.hu/honda/accord_1.6_ex-12823","Középkategória","Sedan","Benzin",NA,4,65,88,NA,NA,NA,NA,NA,NA,NA,NA,4,5
"13",13,"HONDA Accord 1.8 EX (1984-1985)","https://katalogus.hasznaltauto.hu/honda/accord_1.8_ex-12824","Középkategória","Sedan","Benzin",NA,4,74,101,NA,NA,NA,NA,1520,NA,NA,NA,4,5
"14",14,"HONDA Accord 2.0 EX (1985-1989)","https://katalogus.hasznaltauto.hu/honda/accord_2.0_ex-12825","Középkategória","Sedan","Benzin",NA,4,78,106,NA,NA,NA,NA,1560,NA,NA,NA,4,5
"15",15,"HONDA Accord 2.0 Aerodeck EX (1986-1987)","https://katalogus.hasznaltauto.hu/honda/accord_2.0_aerodeck_ex-12826","Középkategória","Kombi","Benzin",NA,4,78,106,NA,NA,NA,NA,NA,NA,NA,NA,3,5
"16",16,"HONDA Accord 2.0 Aerodeck EXi (1986-1987)","https://katalogus.hasznaltauto.hu/honda/accord_2.0_aerodeck_exi-12827","Középkategória","Kombi","Benzin",NA,4,90,122,186,NA,NA,NA,1660,1695,4365,1335,3,5
"17",17,"HONDA Accord 2.0 EXi (1985-1987)","https://katalogus.hasznaltauto.hu/honda/accord_2.0_exi-12828","Középkategória","Sedan","Benzin",NA,4,90,122,NA,NA,NA,NA,1580,NA,NA,NA,4,5
"18",18,"HONDA Accord 2.0 Aerodeck EXi (Automata)  (1986-1987)","https://katalogus.hasznaltauto.hu/honda/accord_2.0_aerodeck_exi_automata-12829","Középkategória","Kombi","Benzin",NA,4,90,122,182,NA,NA,NA,1660,1695,4365,1335,3,5
"19",19,"HONDA Accord 2.0i-16 EX (1987.)","https://katalogus.hasznaltauto.hu/honda/accord_2.0i-16_ex-12830","Középkategória","Sedan","Benzin",NA,4,101,137,NA,NA,NA,NA,1660,NA,NA,NA,4,5
"20",20,"HONDA Accord 2.0 EX (1985-1989)","https://katalogus.hasznaltauto.hu/honda/accord_2.0_ex-12831","Középkategória","Sedan","Benzin",NA,4,75,102,NA,NA,NA,NA,1560,NA,NA,NA,4,5
"21",21,"HONDA Accord 2.0 Aerodeck EX (1987-1989)","https://katalogus.hasznaltauto.hu/honda/accord_2.0_aerodeck_ex-12832","Középkategória","Kombi","Benzin",NA,4,75,102,NA,NA,NA,NA,NA,NA,NA,NA,3,5
"22",22,"HONDA Accord 2.0 EX (Automata)  (1987-1989)","https://katalogus.hasznaltauto.hu/honda/accord_2.0_ex_automata-12833","Középkategória","Sedan","Benzin",NA,4,76,103,NA,NA,NA,NA,NA,NA,NA,NA,4,5
"23",23,"HONDA Accord 2.0 LX (1987-1989)","https://katalogus.hasznaltauto.hu/honda/accord_2.0_lx-12834","Középkategória","Sedan","Benzin",NA,4,75,102,NA,NA,NA,NA,NA,NA,NA,NA,4,5
"24",24,"HONDA Accord 2.0 EXi ALB (1985-1987)","https://katalogus.hasznaltauto.hu/honda/accord_2.0_exi_alb-12835","Középkategória","Sedan","Benzin",NA,4,85,116,193,NA,NA,NA,1500,1695,4535,1355,4,5
"25",25,"HONDA Accord 2.0 EXi (1987-1989)","https://katalogus.hasznaltauto.hu/honda/accord_2.0_exi-12836","Középkategória","Sedan","Benzin",NA,4,85,116,NA,NA,NA,NA,1660,NA,NA,NA,4,5
"26",26,"HONDA Accord 2.0 EXi (Automata)  (1987-1989)","https://katalogus.hasznaltauto.hu/honda/accord_2.0_exi_automata-12837","Középkategória","Sedan","Benzin",NA,4,85,116,NA,NA,NA,NA,NA,NA,NA,NA,4,5
"27",27,"HONDA Accord 2.0 Aerodeck EXi (1987-1989)","https://katalogus.hasznaltauto.hu/honda/accord_2.0_aerodeck_exi-12838","Középkategória","Kombi","Benzin",NA,4,85,116,NA,NA,NA,NA,NA,NA,NA,NA,3,5
"28",28,"HONDA Accord 2.0 Aerodeck EXi (Automata)  (1987-1989)","https://katalogus.hasznaltauto.hu/honda/accord_2.0_aerodeck_exi_automata-12839","Középkategória","Kombi","Benzin",NA,4,85,116,NA,NA,NA,NA,NA,NA,NA,NA,3,5
"29",29,"HONDA Accord 2.0i-16 EX (1987-1989)","https://katalogus.hasznaltauto.hu/honda/accord_2.0i-16_ex-12840","Középkategória","Sedan","Benzin",NA,4,98,133,NA,NA,NA,NA,NA,NA,NA,NA,4,5
"30",30,"HONDA Accord 2.0 EX (1989-1993)","https://katalogus.hasznaltauto.hu/honda/accord_2.0_ex-12841","Középkategória","Sedan","Benzin",NA,4,81,110,NA,NA,NA,NA,1681,NA,NA,NA,4,5
"31",31,"HONDA Accord 2.0 EXi (1989-1994)","https://katalogus.hasznaltauto.hu/honda/accord_2.0_exi-12842","Középkategória","Sedan","Benzin",NA,4,98,133,NA,NA,NA,NA,1760,NA,NA,NA,4,5
"32",32,"HONDA Accord 2.0 EXi (1989-1994)","https://katalogus.hasznaltauto.hu/honda/accord_2.0_exi-12843","Középkategória","Sedan","Benzin",NA,4,98,133,NA,NA,NA,NA,1760,NA,NA,NA,4,5
"33",33,"HONDA Accord 2.0 EXi (Automata)  (1989-1993)","https://katalogus.hasznaltauto.hu/honda/accord_2.0_exi_automata-12844","Középkategória","Sedan","Benzin",NA,4,98,133,NA,NA,NA,NA,NA,NA,NA,NA,4,5
"34",34,"HONDA Accord 2.0 EXi (Automata)  (1993-1994)","https://katalogus.hasznaltauto.hu/honda/accord_2.0_exi_automata-12845","Középkategória","Sedan","Benzin",NA,4,98,133,NA,NA,NA,NA,1800,NA,NA,NA,4,5
"35",35,"HONDA Accord 2.2 EXi (1989-1993)","https://katalogus.hasznaltauto.hu/honda/accord_2.2_exi-12846","Középkategória","Sedan","Benzin",NA,4,110,150,NA,NA,NA,NA,1840,NA,NA,NA,4,5
"36",36,"HONDA Accord 2.2 EXi (Automata)  (1990-1993)","https://katalogus.hasznaltauto.hu/honda/accord_2.2_exi_automata-12847","Középkategória","Sedan","Benzin",NA,4,108,147,NA,NA,NA,NA,NA,NA,NA,NA,4,5
"37",37,"HONDA Accord 2.2i Mod.91 Aerodeck (1991-1992)","https://katalogus.hasznaltauto.hu/honda/accord_2.2i_mod.91_aerodeck-12848","Középkategória","Kombi","Benzin",NA,4,110,150,205,8.9,NA,NA,1920,1695,4740,1400,5,5
"38",38,"HONDA Accord 2.2i Aerodeck (1992-1994)","https://katalogus.hasznaltauto.hu/honda/accord_2.2i_aerodeck-12849","Középkategória","Kombi","Benzin",NA,4,110,150,205,NA,NA,NA,1920,1695,4740,1400,5,5
"39",39,"HONDA Accord 2.2i EX Aerodeck (1992-1994)","https://katalogus.hasznaltauto.hu/honda/accord_2.2i_ex_aerodeck-12850","Középkategória","Kombi","Benzin",NA,4,110,150,205,8.9,NA,NA,1920,1695,4740,1400,5,5
"40",40,"HONDA Accord 2.2i EX Aerodeck (Automata)  (1992-1994)","https://katalogus.hasznaltauto.hu/honda/accord_2.2i_ex_aerodeck_automata-12851","Középkategória","Kombi","Benzin",NA,4,110,150,202,10.9,NA,NA,1920,1695,4740,1400,5,5
"41",41,"HONDA Accord 2.0i (1993-1996)","https://katalogus.hasznaltauto.hu/honda/accord_2.0i-12852","Középkategória","Sedan","Benzin",2.599,4,85,116,197,10.8,NA,NA,1820,1715,4675,1380,4,5
"42",42,"HONDA Accord 2.0i LS (1994-1996)","https://katalogus.hasznaltauto.hu/honda/accord_2.0i_ls-12853","Középkategória","Sedan","Benzin",2.94,4,85,116,197,10.8,NA,NA,1820,1715,4675,1380,4,5
"43",43,"HONDA Accord 2.0i LS Airbag (1994-1996)","https://katalogus.hasznaltauto.hu/honda/accord_2.0i_ls_airbag-12854","Középkategória","Sedan","Benzin",4.39,4,85,116,197,10.8,NA,NA,1820,1715,4675,1380,4,5
"44",44,"HONDA Accord 2.0i S (1993-1996)","https://katalogus.hasznaltauto.hu/honda/accord_2.0i_s-12855","Középkategória","Sedan","Benzin",3.69,4,96,131,200,10.2,NA,NA,1820,1715,4675,1380,4,5
