"","ID","Név","Link","Kategória","Kivitel","Üzemanyag","Újkori.ára.(mHUF)","Hengerek.száma","Maximális.teljesítmény.(kW)","Maximális.teljesítmény.(LE)","Végsebesség.(km/h)","Gyorsulás.(s)","CO2.kibocsátás.(g/km)","Vegyes.fogyasztás.(l)","Össztömeg.(kg)","Szélesség.(mm)","Hosszúság.(mm)","Magasság.(mm)","Ajtók.száma","Szállítható.személyek.száma"
"1",1,"MASERATI 420 (1985-1986)","https://katalogus.hasznaltauto.hu/maserati/420-76975",NA,"Lépcsõshátú","Benzin",NA,6,133,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"MASERATI 420 i (1987-1988)","https://katalogus.hasznaltauto.hu/maserati/420_i-76976",NA,"Lépcsõshátú","Benzin",NA,6,138,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,"MASERATI 430 i (1988-1994)","https://katalogus.hasznaltauto.hu/maserati/430_i-76977",NA,"Lépcsõshátú","Benzin",NA,6,182,248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"MASERATI 2.8 Bi Turbo (1991-1994)","https://katalogus.hasznaltauto.hu/maserati/2.8_bi_turbo-76978",NA,"Lépcsõshátú","Benzin",NA,6,165,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"MASERATI 2.8 Bi Turbo (1991-1994)","https://katalogus.hasznaltauto.hu/maserati/2.8_bi_turbo-76979",NA,"Lépcsõshátú","Benzin",NA,6,209,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"MASERATI 2.0 (1986-1988)","https://katalogus.hasznaltauto.hu/maserati/2.0-76980",NA,"Lépcsõshátú","Benzin",NA,6,162,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,"MASERATI A6 1500 (1946–)","https://katalogus.hasznaltauto.hu/maserati/a6_1500-71880",NA,"Lépcsõshátú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"MASERATI A6GCM (1947–)","https://katalogus.hasznaltauto.hu/maserati/a6gcm-71881",NA,"Lépcsõshátú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,"MASERATI A6GCS (1947–)","https://katalogus.hasznaltauto.hu/maserati/a6gcs-71882",NA,"Lépcsõshátú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,"MASERATI Biturbo 430 (1988-1992)","https://katalogus.hasznaltauto.hu/maserati/biturbo_430-15465","Nagykocsi","Sedan","Benzin",NA,6,165,224,220,6.2,NA,NA,1856,1730,4400,1370,4,5
