"","Név","Link","Gyártási idõszak","Kivitel","Üzemanyag","Hengerek száma","Sebességváltó","Hajtás","Hengerûrtartalom","Maximális teljesítmény","Hengerelrendezés","Ajtók száma","Kategória","Újkori ára","Szállítható személyek száma","Saját tömeg","Össztömeg","Szélesség","Magasság","Hosszúság","Tengelytáv","Üzemanyagtank","Csomagtér térfogata","Hasznos teher","CO2-kibocsátás","Városi fogyasztás","Országúti fogyasztás","Vegyes fogyasztás","Végsebesség","Gyorsulás 0-ról 100 km/h-ra","Maximális forgatónyomaték","Fordulási kör átmérõje","Környezetvédelmi osztály","Gumiméret"
"1","BENTLEY 4.4 V8 32V Turbo (1998–)","https://katalogus.hasznaltauto.hu/bentley/4.4_v8_32v_turbo-67488","1998–","Lépcsõshátú","Benzin","8 henger","Automata (5 fokozatú) sebességváltó","Elsõ kerék","4 398 cm3","260 kW, 354 LE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","BENTLEY 6.8 V8 (1999–)","https://katalogus.hasznaltauto.hu/bentley/6.8_v8-67489","1999–","Lépcsõshátú","Benzin","8 henger","Automata (4 fokozatú) sebességváltó","Hátsó kerék","6 750 cm3","298 kW, 405 LE","V",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","BENTLEY 6.8 V8 T (2002–)","https://katalogus.hasznaltauto.hu/bentley/6.8_v8_t-67490","2002–","Lépcsõshátú","Benzin","8 henger","Automata (4 fokozatú) sebességváltó","Hátsó kerék","6 761 cm3","336 kW, 457 LE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","BENTLEY 6.7 (2002-2005)","https://katalogus.hasznaltauto.hu/bentley/6.7-67491","2002-2005","Lépcsõshátú","Benzin","8 henger",NA,"Hátsó kerék","6 747 cm3","313 kW, 426 LE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","BENTLEY 6.8 V8 T (2002–)","https://katalogus.hasznaltauto.hu/bentley/6.8_v8_t-67492","2002–","Lépcsõshátú","Benzin","8 henger",NA,"Hátsó kerék","6 761 cm3","373 kW, 507 LE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","BENTLEY 6.8 (2006–)","https://katalogus.hasznaltauto.hu/bentley/6.8-67493","2006–","Coupe","Benzin","8 henger",NA,"Hátsó kerék","6 761 cm3","373 kW, 507 LE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","BENTLEY 6.8 (2005–)","https://katalogus.hasznaltauto.hu/bentley/6.8-67494","2005–","Coupe","Benzin","8 henger",NA,"Hátsó kerék","6 761 cm3","336 kW, 457 LE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","BENTLEY 4.4 32V (1999-2001)","https://katalogus.hasznaltauto.hu/bentley/4.4_32v-67495","1999-2001","Lépcsõshátú","Benzin","8 henger","Automata sebességváltó","Hátsó kerék","4 398 cm3","261 kW, 355 LE",NA,"4 ajtó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","BENTLEY 4.4 32V (2000-2001)","https://katalogus.hasznaltauto.hu/bentley/4.4_32v-67496","2000-2001","Lépcsõshátú","Benzin","8 henger","Automata sebességváltó","Hátsó kerék","4 398 cm3","261 kW, 355 LE",NA,"4 ajtó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","BENTLEY 4.4 32V (2000-2001)","https://katalogus.hasznaltauto.hu/bentley/4.4_32v-67497","2000-2001","Lépcsõshátú","Benzin","8 henger","Automata sebességváltó","Hátsó kerék","4 400 cm3","261 kW, 355 LE",NA,"4 ajtó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","BENTLEY 6.7 16V (2000-2001)","https://katalogus.hasznaltauto.hu/bentley/6.7_16v-67498","2000-2001","Lépcsõshátú","Benzin","8 henger","Automata sebességváltó","Hátsó kerék","6 748 cm3","299 kW, 407 LE",NA,"4 ajtó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","BENTLEY 6.7 16V (2000-2005)","https://katalogus.hasznaltauto.hu/bentley/6.7_16v-67499","2000-2005","Lépcsõshátú","Benzin","8 henger","Automata sebességváltó","Hátsó kerék","6 748 cm3","299 kW, 407 LE",NA,"4 ajtó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","BENTLEY 6.8 16V (2006-2007)","https://katalogus.hasznaltauto.hu/bentley/6.8_16v-67500","2006-2007","Lépcsõshátú","Benzin","8 henger","Automata sebességváltó","Hátsó kerék","6 748 cm3","298 kW, 405 LE",NA,"4 ajtó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
