"","Név","Link","Gyártási idõszak","Kivitel","Üzemanyag","Hengerelrendezés","Hengerek száma","Hajtás","Hengerûrtartalom","Maximális teljesítmény","Kategória","Ajtók száma","Szállítható személyek száma","Saját tömeg","Össztömeg","Szélesség","Magasság","Hosszúság","Tengelytáv","Üzemanyagtank","Hasznos teher","Sebességváltó","Végsebesség","Gyorsulás 0-ról 100 km/h-ra","Maximális forgatónyomaték","Gumiméret","Újkori ára","Csomagtér térfogata","CO2-kibocsátás","Vegyes fogyasztás","Városi fogyasztás","Országúti fogyasztás","Fordulási kör átmérõje","Környezetvédelmi osztály"
"1","MASERATI 420 (1985-1986)","https://katalogus.hasznaltauto.hu/maserati/420-76975","1985-1986","Lépcsõshátú","Benzin","V","6 henger","Hátsó kerék","1 996 cm3","133 kW, 181 LE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","MASERATI 420 i (1987-1988)","https://katalogus.hasznaltauto.hu/maserati/420_i-76976","1987-1988","Lépcsõshátú","Benzin","V","6 henger","Hátsó kerék","1 996 cm3","138 kW, 188 LE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","MASERATI 430 i (1988-1994)","https://katalogus.hasznaltauto.hu/maserati/430_i-76977","1988-1994","Lépcsõshátú","Benzin","V","6 henger","Hátsó kerék","2 790 cm3","182 kW, 248 LE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","MASERATI 2.8 Bi Turbo (1991-1994)","https://katalogus.hasznaltauto.hu/maserati/2.8_bi_turbo-76978","1991-1994","Lépcsõshátú","Benzin",NA,"6 henger","Hátsó kerék","2 790 cm3","165 kW, 224 LE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","MASERATI 2.8 Bi Turbo (1991-1994)","https://katalogus.hasznaltauto.hu/maserati/2.8_bi_turbo-76979","1991-1994","Lépcsõshátú","Benzin",NA,"6 henger","Hátsó kerék","2 790 cm3","209 kW, 284 LE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","MASERATI 2.0 (1986-1988)","https://katalogus.hasznaltauto.hu/maserati/2.0-76980","1986-1988","Lépcsõshátú","Benzin",NA,"6 henger","Hátsó kerék","1 996 cm3","162 kW, 220 LE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","MASERATI A6 1500 (1946–)","https://katalogus.hasznaltauto.hu/maserati/a6_1500-71880","1946–","Lépcsõshátú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","MASERATI A6GCM (1947–)","https://katalogus.hasznaltauto.hu/maserati/a6gcm-71881","1947–","Lépcsõshátú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","MASERATI A6GCS (1947–)","https://katalogus.hasznaltauto.hu/maserati/a6gcs-71882","1947–","Lépcsõshátú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","MASERATI Biturbo 430 (1988-1992)","https://katalogus.hasznaltauto.hu/maserati/biturbo_430-15465","1988-1992","Sedan","Benzin","V","6 henger","Hátsó kerék","2 788 cm3","165 kW, 224 LE","Nagykocsi","4 ajtó","5 fõ","1 450 kg","1 856 kg","1 730 mm","1 370 mm","4 400 mm","2 600 mm","80 l","406 kg","Manuális (5 fokozatú) sebességváltó","220 km/h","6,2 s","363 Nm","205/50 VR15 ",NA,NA,NA,NA,NA,NA,NA,NA
"11","MASERATI Biturbo 430 (1992-1994)","https://katalogus.hasznaltauto.hu/maserati/biturbo_430-15466","1992-1994","Sedan","Benzin","V","6 henger","Hátsó kerék","2 788 cm3","205 kW, 279 LE","Nagykocsi","4 ajtó","5 fõ","1 400 kg","1 910 kg","1 730 mm","1 370 mm","4 400 mm","2 600 mm","80 l","510 kg","Manuális (5 fokozatú) sebességváltó","270 km/h","5,3 s","431 Nm","205/45 ZR16 ",NA,NA,NA,NA,NA,NA,NA,NA
"12","MASERATI 4.7 (1971-1980)","https://katalogus.hasznaltauto.hu/maserati/4.7-71883","1971-1980","Coupe","Benzin","V","8 henger","Hátsó kerék","4 719 cm3","228 kW, 310 LE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","MASERATI 5.0 (1976-1980)","https://katalogus.hasznaltauto.hu/maserati/5.0-71884","1976-1980","Coupe","Benzin",NA,"8 henger","Elsõ kerék","4 930 cm3","235 kW, 320 LE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","MASERATI 4.9 (1971-1974)","https://katalogus.hasznaltauto.hu/maserati/4.9-71885","1971-1974","Lépcsõshátú","Benzin",NA,"8 henger",NA,"4 930 cm3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","MASERATI 4.7 16V (1975-1979)","https://katalogus.hasznaltauto.hu/maserati/4.7_16v-71886","1975-1979","Coupe","Benzin",NA,"8 henger","Hátsó kerék","4 714 cm3",NA,NA,"2 ajtó",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Manuális sebességváltó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","MASERATI 4.9 16V (1975-1983)","https://katalogus.hasznaltauto.hu/maserati/4.9_16v-71887","1975-1983","Coupe","Benzin",NA,"8 henger","Hátsó kerék","4 930 cm3",NA,NA,"2 ajtó",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Manuális sebességváltó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","MASERATI Coupe (2004-2006)","https://katalogus.hasznaltauto.hu/maserati/coupe-15480","2004-2006","Coupe","Benzin","V","8 henger","Hátsó kerék","4 244 cm3","287 kW, 390 LE","Nagykocsi","2 ajtó","2 fõ","1 670 kg","1 940 kg","1 822 mm","1 305 mm","4 253 mm","2 660 mm","88 l","270 kg","Manuális (6 fokozatú) sebességváltó","285 km/h","4,9 s","451 Nm","235/40 ZR18 265/35 ZR18 ","28 399 400 Ft","220 l","437 g/km","18,6 l/100km",NA,NA,NA,NA
